,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,1.0,1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
2020-09-23 14:01:00,1.0,1.5,-0.5,-1.5,1.0,0.5,-0.5,0.5,-1.0,-1.5,1.5,-1.0
2020-09-23 14:02:00,1.0,2.0,-0.3333333333333333,-1.6666666666666667,1.0,1.0,0.0,0.0,-0.6666666666666666,-1.3333333333333333,2.0,-0.6666666666666666
2020-09-23 14:03:00,1.25,2.5,-0.5,-1.5,1.25,1.5,0.5,0.0,-0.75,-1.5,2.0,-0.25
2020-09-23 14:04:00,1.2,2.8,-0.4,-1.2,1.4,2.0,1.0,0.2,-0.6,-1.6,2.2,0.2
2020-09-23 14:05:00,1.3333333333333333,2.8333333333333335,-0.16666666666666666,-1.1666666666666667,1.3333333333333333,2.5,1.5,0.5,-0.6666666666666666,-1.8333333333333333,2.3333333333333335,0.3333333333333333
2020-09-23 14:06:00,1.5714285714285714,3.0,0.14285714285714285,-1.1428571428571428,1.2857142857142858,2.857142857142857,1.8571428571428572,0.5714285714285714,-0.8571428571428571,-2.142857142857143,2.5714285714285716,0.42857142857142855
2020-09-23 14:07:00,1.875,3.0,0.25,-1.0,1.125,3.25,2.0,0.625,-0.875,-2.25,2.625,0.625
2020-09-23 14:08:00,2.111111111111111,2.888888888888889,0.4444444444444444,-1.0,1.1111111111111112,3.5555555555555554,2.0,0.6666666666666666,-1.0,-2.3333333333333335,2.5555555555555554,0.7777777777777778
2020-09-23 14:09:00,2.4,2.9,0.7,-1.1,1.0,3.8,2.0,0.7,-1.1,-2.4,2.4,0.9
2020-09-23 14:10:00,2.6363636363636362,3.0,0.9090909090909091,-1.1818181818181819,1.0,4.0,1.9090909090909092,0.7272727272727273,-1.1818181818181819,-2.5454545454545454,2.1818181818181817,1.0909090909090908
2020-09-23 14:11:00,2.9166666666666665,3.0833333333333335,1.1666666666666667,-1.25,1.0833333333333333,4.166666666666667,1.8333333333333333,0.6666666666666666,-1.3333333333333333,-2.5833333333333335,1.9166666666666667,1.1666666666666667
2020-09-23 14:12:00,3.1538461538461537,3.076923076923077,1.4615384615384615,-1.3846153846153846,1.0769230769230769,4.230769230769231,1.7692307692307692,0.6153846153846154,-1.3846153846153846,-2.6923076923076925,1.7692307692307692,1.1538461538461537
2020-09-23 14:13:00,3.2857142857142856,3.142857142857143,1.7142857142857142,-1.5714285714285714,1.0714285714285714,4.214285714285714,1.7142857142857142,0.6428571428571429,-1.5,-2.7857142857142856,1.7142857142857142,1.1428571428571428
2020-09-23 14:14:00,3.466666666666667,3.2,1.8666666666666667,-1.7333333333333334,1.1333333333333333,4.266666666666667,1.7333333333333334,0.6,-1.6,-2.933333333333333,1.7333333333333334,1.0666666666666667
2020-09-23 14:15:00,3.5625,3.1875,1.9375,-1.8125,1.1875,4.3125,1.6875,0.5625,-1.6875,-3.125,1.75,1.0625
2020-09-23 14:16:00,3.588235294117647,3.235294117647059,1.9411764705882353,-1.9411764705882353,1.2352941176470589,4.294117647058823,1.588235294117647,0.5294117647058824,-1.8235294117647058,-3.3529411764705883,1.7647058823529411,1.1176470588235294
2020-09-23 14:17:00,3.611111111111111,3.3333333333333335,1.8888888888888888,-2.111111111111111,1.3333333333333333,4.333333333333333,1.4444444444444444,0.5555555555555556,-1.8888888888888888,-3.5555555555555554,1.7777777777777777,1.2222222222222223
2020-09-23 14:18:00,3.5789473684210527,3.473684210526316,1.8421052631578947,-2.263157894736842,1.4736842105263157,4.421052631578948,1.3157894736842106,0.5263157894736842,-1.9473684210526316,-3.6842105263157894,1.736842105263158,1.368421052631579
2020-09-23 14:19:00,3.55,3.65,1.8,-2.4,1.65,4.55,1.15,0.55,-2.05,-3.8,1.7,1.5
2020-09-23 14:20:00,3.5238095238095237,3.857142857142857,1.7142857142857142,-2.5238095238095237,1.8571428571428572,4.714285714285714,0.9523809523809523,0.6190476190476191,-2.0952380952380953,-3.9047619047619047,1.619047619047619,1.5714285714285714
2020-09-23 14:21:00,3.5454545454545454,4.090909090909091,1.5909090909090908,-2.6363636363636362,2.0454545454545454,4.863636363636363,0.7727272727272727,0.6818181818181818,-2.090909090909091,-4.045454545454546,1.5454545454545454,1.6818181818181819
2020-09-23 14:22:00,3.5652173913043477,4.304347826086956,1.4782608695652173,-2.6956521739130435,2.1739130434782608,4.956521739130435,0.6086956521739131,0.7391304347826086,-2.0869565217391304,-4.217391304347826,1.4782608695652173,1.7391304347826086
2020-09-23 14:23:00,3.5833333333333335,4.541666666666667,1.3333333333333333,-2.75,2.2916666666666665,5.041666666666667,0.4166666666666667,0.7916666666666666,-2.0416666666666665,-4.416666666666667,1.4583333333333333,1.7916666666666667
2020-09-23 14:24:00,3.56,4.8,1.2,-2.8,2.36,5.08,0.24,0.88,-1.96,-4.6,1.44,1.84
2020-09-23 14:25:00,3.5,5.076923076923077,1.0769230769230769,-2.8461538461538463,2.423076923076923,5.115384615384615,0.07692307692307693,0.9230769230769231,-1.8846153846153846,-4.769230769230769,1.4615384615384615,1.8461538461538463
2020-09-23 14:26:00,3.4074074074074074,5.333333333333333,0.9259259259259259,-2.925925925925926,2.5185185185185186,5.148148148148148,-0.1111111111111111,1.0,-1.7777777777777777,-4.925925925925926,1.4444444444444444,1.8518518518518519
2020-09-23 14:27:00,3.2857142857142856,5.607142857142857,0.8214285714285714,-3.0,2.5714285714285716,5.178571428571429,-0.32142857142857145,1.0357142857142858,-1.6785714285714286,-5.035714285714286,1.3928571428571428,1.8571428571428572
2020-09-23 14:28:00,3.206896551724138,5.862068965517241,0.7586206896551724,-3.0344827586206895,2.6206896551724137,5.241379310344827,-0.5517241379310345,1.103448275862069,-1.5862068965517242,-5.137931034482759,1.3448275862068966,1.8620689655172413
2020-09-23 14:29:00,3.1333333333333333,6.066666666666666,0.6666666666666666,-3.1,2.6666666666666665,5.266666666666667,-0.7333333333333333,1.1333333333333333,-1.5333333333333334,-5.266666666666667,1.3333333333333333,1.8333333333333333
2020-09-23 14:30:00,3.032258064516129,6.290322580645161,0.5483870967741935,-3.161290322580645,2.7419354838709675,5.32258064516129,-0.8709677419354839,1.1935483870967742,-1.4516129032258065,-5.387096774193548,1.2903225806451613,1.8387096774193548
